UniqueFireIdentifier,IncidentName,FireDiscoveryDateTime,FireCause,DailyAcres,EstimatedCostToDate,FireMgmtComplexity,FireToDate,POOCounty,POOState,POOLandownerKind,IncidentTypeCategory,PredominantFuelGroup,FireDiscoveryYear,FireDiscoveryMonth,key,Residences Threatened,Residences Destroyed,Other Structures Threatened,Other Structures Destroyed,Number Injuries,Number Fatalities,Final Fire Acre Quantity
2016-AZTNF-000476,Juniper,2016-05-20 19:34:59+00:00,Natural,30641.0,11600000.0,Type 4 Incident,2016/08/04 18:14:59+00,Gila,US-AZ,Federal,WF,,2016,5,2016-05-20AZGILA,,,,,,,
2017-ORUMFH-017174,Tupper Corral,2017-08-08 22:44:59+00:00,,176.0,176000.0,Type 5 Incident,2017/08/20 03:00:00+00,Morrow,US-OR,,WF,,2017,8,2017-08-08ORMORROW,,,,,,,
2014-IDNCF-000253,Ranger Lake,2014-07-23 22:50:37+00:00,Natural,0.1,2000.0,,,Idaho,US-ID,Federal,WF,,2014,7,2014-07-23IDIDAHO,,,,,,,
2015-KSGEX-000308,K244,2015-03-31 16:44:59+00:00,Human,300.0,4000.0,,2015/03/31 16:44:59+00,Geary,US-KS,,WF,,2015,3,2015-03-31KSGEARY,0.0,0.0,0.0,0.0,0.0,0.0,368.0
2015-AZFTA-000512,Forestdale,2015-07-16 19:17:00+00:00,Natural,845.0,10000.0,Type 4 Incident,2015/09/01 23:00:00+00,Navajo,US-AZ,Federal,WF,,2015,7,2015-07-16AZNAVAJO,,,,,,,
2019-IDBOD-000469,MARYS,2019-07-23 03:59:00+00:00,Natural,182.0,35000.0,Type 4 Incident,2019/07/23 21:59:59+00,Owyhee,US-ID,Federal,WF,,2019,7,2019-07-23IDOWYHEE,,,,,,,
2018-FLFNF-000134,Owl Creek,2018-03-17 21:07:00+00:00,Human,108.0,53000.0,Type 4 Incident,2018/03/17 21:59:59+00,Liberty,US-FL,Federal,WF,,2018,3,2018-03-17FLLIBERTY,,,,,,,
2015-WVWVS-F201550051,White Oak Branch,2015-11-14 02:29:59+00:00,Human,285.0,1406.0,Type 5 Incident,2015/11/14 02:29:59+00,Mingo,US-WV,,WF,,2015,11,2015-11-14WVMINGO,,,,,,,
2017-FLFLS-140105,Bell Hammock,2017-02-26 03:59:59+00:00,Undetermined,400.0,0.0,Type 4 Incident,2017/02/28 18:59:59+00,Polk,US-FL,,WF,,2017,2,2017-02-26FLPOLK,0.0,0.0,0.0,2.0,0.0,0.0,5.0
2016-TXTXS-001503,Jim Ned Road,2016-02-10 22:25:00+00:00,Human,300.0,0.0,Type 5 Incident,2016/02/15 12:59:59+00,Montague,US-TX,Private,WF,,2016,2,2016-02-10TXMONTAGUE,0.0,0.0,2.0,0.0,0.0,0.0,302.0
2020-PAPAS-000048,Stoneberry Road,2020-02-24 17:16:00+00:00,Human,3.0,1200.0,Type 5 Incident,2020/02/24 17:15:00+00,Bucks,US-PA,,WF,,2020,2,2020-02-24PABUCKS,1.0,0.0,0.0,0.0,0.0,1.0,3.0
2016-WASPD-000170,BEAM ROAD,2016-06-20 19:40:00+00:00,Human,1293.0,50000.0,Type 3 Incident,2016/06/22 06:00:00+00,Yakima,US-WA,,WF,,2016,6,2016-06-20WAYAKIMA,,,,,,,
2016-KSBUX-000171,Wieeman,2016-02-27 17:52:59+00:00,Human,2190.0,28700.0,Type 4 Incident,2016/02/27 16:53:00+00,Butler,US-KS,,WF,,2016,2,2016-02-27KSBUTLER,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2016-AKUYD-000408,False Alarm 12,2016-07-10 20:09:45+00:00,Natural,0.1,0.0,,,Yukon-Koyukuk,US-AK,Other,WF,,2016,7,2016-07-10AKYUKON-KOYUKUK,,,,,,,
2015-UTSLD-000584,Berry,2015-08-15 00:13:00+00:00,Natural,265.0,400000.0,Type 4 Incident,2015/08/21 12:00:00+00,Tooele,US-UT,,WF,,2015,8,2015-08-15UTTOOELE,,,,,,,
2020-AZA5S-001807, CONSTELLATION,2020-08-20 12:59:00+00:00,Natural,12252.0,580000.0,Type 4 Incident,2020/08/26 00:59:59+00,Yavapai,US-AZ,Private,WF,,2020,8,2020-08-20AZYAVAPAI,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2015-IDMCS-000664,Incident 664,2015-08-11 02:03:59+00:00,Natural,5.0,150000.0,,,Lewis,US-ID,Federal,WF,,2015,8,2015-08-11IDLEWIS,,,,,,,
2020-AZA3S-000677,RAFAEL,2020-05-31 22:15:59+00:00,Natural,440.0,60000.0,Type 4 Incident,2020/06/06 03:00:00+00,Santa Cruz,US-AZ,Private,WF,,2020,5,2020-05-31AZSANTA CRUZ,,,,,,,
2017-NVBMD-020106,Mill,2017-06-29 00:01:00+00:00,Human,478.85,400000.0,Type 3 Incident,2017/06/29 23:00:00+00,Lander,US-NV,Federal,WF,,2017,6,2017-06-29NVLANDER,0.0,0.0,0.0,0.0,0.0,0.0,7.83
2014-NMSNF-000191,Diego,2014-06-25 22:25:59+00:00,Natural,3626.0,4840000.0,,,Rio Arriba,US-NM,Federal,WF,,2014,6,2014-06-25NMRIO ARRIBA,0.0,0.0,0.0,0.0,0.0,0.0,3424.0
2015-AKGAD-000471,Isahultila,2015-06-22 02:16:11+00:00,Natural,128617.0,10000.0,Type 3 Incident,2015/08/16 03:59:59+00,Yukon-Koyukuk,US-AK,Federal,WF,,2015,6,2015-06-22AKYUKON-KOYUKUK,,,,,,,
2017-ORBUD-007045,Powerline,2017-07-09 02:12:00+00:00,Natural,688.0,150000.0,Type 4 Incident,2017/07/14 17:00:00+00,Harney,US-OR,,WF,,2017,7,2017-07-09ORHARNEY,,,,,,,
2014-CAENF-023424,IRENE,2014-09-14 18:14:59+00:00,Natural,94.0,550000.0,,,Alpine,US-CA,Federal,WF,,2014,9,2014-09-14CAALPINE,,,,,,,
2016-AKGAD-000559,Hog Mine,2016-07-21 21:14:24+00:00,Natural,0.1,0.0,,,Yukon-Koyukuk,US-AK,Private,WF,,2016,7,2016-07-21AKYUKON-KOYUKUK,,,,,,,
2017-AKUYD-000325,Bear Mountain,2017-07-09 16:45:04+00:00,Natural,46714.6,0.0,Type 5 Incident,2017/11/16 21:00:00+00,Yukon-Koyukuk,US-AK,Federal,WF,,2017,7,2017-07-09AKYUKON-KOYUKUK,,,,,,,
2019-IDNCF-000266,Barren Hill,2019-07-01 19:51:59+00:00,Natural,1592.0,35000.0,Type 4 Incident,2019/10/24 15:59:59+00,Idaho,US-ID,Federal,WF,,2019,7,2019-07-01IDIDAHO,,,,,,,
2018-COGMF-000279,Green Mountain,2018-08-07 21:52:22+00:00,Natural,53.0,500000.0,Type 4 Incident,2018/08/10 23:00:00+00,Saguache,US-CO,Federal,WF,,2018,8,2018-08-07COSAGUACHE,,,,,,,
2019-CABDU-010837,MILPAS,2019-07-23 00:03:01+00:00,Undetermined,81.0,424283.0,Type 4 Incident,2019/07/25 12:59:59+00,San Bernardino,US-CA,Federal,WF,,2019,7,2019-07-23CASAN BERNARDINO,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2015-OKWEA-015030,POND,2015-03-15 22:30:00+00:00,Human,7.0,990.0,,,Seminole,US-OK,,WF,,2015,3,2015-03-15OKSEMINOLE,,,,,,,
2020-UTNWS-000285,Big Springs ,2020-06-14 17:31:00+00:00,Human,2916.8,475000.0,Type 3 Incident,2020/06/15 21:59:59+00,Tooele,US-UT,Other,WF,,2020,6,2020-06-14UTTOOELE,2.0,0.0,0.0,0.0,0.0,0.0,2917.82
2020-ORVAD-000189,WICKIUP,2020-09-07 21:29:00+00:00,Human,751.0,40000.0,Type 4 Incident,2020/09/08 03:00:00+00,Malheur,US-OR,Private,WF,Grass-Shrub,2020,9,2020-09-07ORMALHEUR,,,,,,,
2016-HICNTY-000001,Puu Anahulu,2016-02-11 11:00:00+00:00,Undetermined,771.0,15000.0,Type 3 Incident,2016/02/18 16:15:00+00,Hawaii,US-HI,,WF,,2016,2,2016-02-11HIHAWAII,0.0,0.0,0.0,0.0,0.0,0.0,775.0
2018-OKSEU-180206,Eagle Canyon Fire,2018-06-09 19:30:00+00:00,Human,300.0,17413.0,Type 4 Incident,2018/06/12 19:30:00+00,Pushmataha,US-OK,,WF,,2018,6,2018-06-09OKPUSHMATAHA,,,,,,,
2020-TXTXS-200484,Lost Oak,2020-08-19 21:04:48+00:00,Human,375.0,1.0,Type 3 Incident,2020/08/26 12:59:59+00,Blanco,US-TX,Private,WF,,2020,8,2020-08-19TXBLANCO,21.0,0.0,0.0,0.0,0.0,0.0,384.0
2020-NJNJS-C051901,Big Timber,2020-05-19 17:29:59+00:00,Human,2107.0,10000.0,Type 4 Incident,2020/05/20 21:59:59+00,Camden,US-NJ,,WF,,2020,5,2020-05-19NJCAMDEN,0.0,0.0,0.0,0.0,0.0,0.0,2107.25
2017-TNTNS-100009,Reservoir Road,2017-12-03 23:00:00+00:00,,136.0,1000.0,Type 5 Incident,2017/12/04 15:00:00+00,Morgan,US-TN,,WF,,2017,12,2017-12-03TNMORGAN,,,,,,,
2021-OKOKS-100061,Highway 2 Fire,2021-03-08 19:55:00+00:00,Human,2.0,764.0,Type 4 Incident,2021/03/08 22:15:00+00,Pushmataha,US-OK,Private,WF,,2021,3,2021-03-08OKPUSHMATAHA,,,,,,,
2020-CAKNP-000107,Horse Creek,2020-09-05 15:48:00+00:00,Human,0.2,100000.0,Type 5 Incident,2020/09/07 00:59:59+00,Tulare,US-CA,Federal,WF,Timber,2020,9,2020-09-05CATULARE,,,,,,,
2018-CALAC-166129,STONE,2018-06-04 12:28:45+00:00,Unknown,1352.0,2900000.0,Type 3 Incident,2018/06/07 00:59:59+00,Los Angeles,US-CA,,WF,,2018,6,2018-06-04CALOS ANGELES,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2018-AKGAD-000174,Dulby Hot Springs,2018-06-06 20:50:05+00:00,Natural,44363.6,38815.0,,2018/08/23 23:15:00+00,Yukon-Koyukuk,US-AK,Federal,WF,,2018,6,2018-06-06AKYUKON-KOYUKUK,,,,,,,
2017-CASTF-001940,DOUGLAS,2017-07-31 20:44:00+00:00,Natural,311.0,400000.0,Type 3 Incident,2017/09/14 00:59:59+00,Tuolumne,US-CA,Federal,WF,,2017,7,2017-07-31CATUOLUMNE,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2015-MTLNF-000847,North Richmond,2015-08-14 23:06:59+00:00,Natural,240.0,900000.0,,,Missoula,US-MT,Federal,WF,,2015,8,2015-08-14MTMISSOULA,9.0,0.0,1.0,3.0,0.0,0.0,0.41000000000000003
2018-WAMSF-000285,Fern Creek,2018-08-24 00:25:28+00:00,Natural,0.5,1500.0,Type 5 Incident,2018/09/14 12:59:59+00,Snohomish,US-WA,Federal,WF,,2018,8,2018-08-24WASNOHOMISH,,,,,,,
2019-FLFLS-021397,TINSLEY RD,2019-10-05 06:00:00+00:00,Unknown,4.0,1335.25,Type 5 Incident,2019/10/06 06:14:59+00,Holmes,US-FL,,WF,,2019,10,2019-10-05FLHOLMES,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2016-WVWVS-S201650116,Dingess Fork,2016-04-11 18:59:59+00:00,Human,370.0,1123.0,Type 4 Incident,2016/04/11 18:59:59+00,Logan,US-WV,,WF,,2016,4,2016-04-11WVLOGAN,0.0,0.0,0.0,0.0,0.0,0.0,376.0
2017-ORVAD-000214,Little,2017-08-28 22:20:00+00:00,Natural,1613.4,100000.0,Type 4 Incident,2017/08/29 03:00:00+00,Malheur,US-OR,,WF,,2017,8,2017-08-28ORMALHEUR,,,,,,,
2018-CAMDF-000728,JUNIPER ,2018-07-18 21:59:35+00:00,Natural,79.0,350000.0,Type 4 Incident,2018/07/22 00:00:00+00,Modoc,US-CA,Federal,WF,,2018,7,2018-07-18CAMODOC,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2020-MSMSS-007505,Jefferson Road,2020-09-21 15:59:59+00:00,Human,105.0,21000.0,Type 5 Incident,2020/09/21 16:15:00+00,Grenada,US-MS,Private,WF,,2020,9,2020-09-21MSGRENADA,0.0,0.0,0.0,0.0,0.0,0.0,105.0
2019-AKUYD-000424,Tettjajik Creek,2019-07-03 00:51:00+00:00,Natural,39305.8,40341.0,Type 5 Incident,2019/07/12 02:00:00+00,Yukon-Koyukuk,US-AK,Federal,WF,,2019,7,2019-07-03AKYUKON-KOYUKUK,,,,,,,
2020-MSMSS-007622,Hancock Laterre Drive 19156,2020-11-16 20:29:59+00:00,Human,1.0,200.0,Type 5 Incident,2020/11/16 20:45:00+00,Hancock,US-MS,Private,WF,,2020,11,2020-11-16MSHANCOCK,6.0,0.0,4.0,1.0,0.0,0.0,1.0
2014-AZCOF-001389,MAXWELL,2014-11-29 18:11:59+00:00,Human,10.5,2000.0,,,Coconino,US-AZ,Federal,WF,,2014,11,2014-11-29AZCOCONINO,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2020-CATCU-009614,LCA 5-1,2020-08-24 07:41:59+00:00,Unknown,0.1,15000.0,,,Tuolumne,US-CA,Private,WF,,2020,8,2020-08-24CATUOLUMNE,,,,,,,
2015-IDNCF-000972,Platinum,2015-08-27 22:31:00+00:00,Natural,25.0,100.0,Type 3 Incident,2015/08/28 18:59:59+00,Clearwater,US-ID,Federal,WF,,2015,8,2015-08-27IDCLEARWATER,,,,,,,
2014-CATCU-008501,JACKSON,2014-09-05 07:51:59+00:00,Undetermined,70.0,500000.0,,,Tuolumne,US-CA,Federal,WF,,2014,9,2014-09-05CATUOLUMNE,0.0,0.0,1.0,0.0,0.0,0.0,0.12
2016-TNTNS-ED0023,Bull Creek Road,2016-10-19 12:30:00+00:00,Human,200.0,1000.0,Type 5 Incident,2016/10/19 12:30:00+00,Scott,US-TN,,WF,,2016,10,2016-10-19TNSCOTT,0.0,0.0,0.0,0.0,0.0,0.0,40.0
2016-AKFAS-611341,MP 301 Parks,2016-06-26 23:59:26+00:00,Natural,0.1,6980.0,Type 5 Incident,,Yukon-Koyukuk,US-AK,Private,WF,,2016,6,2016-06-26AKYUKON-KOYUKUK,,,,,,,
2016-ALALF-160628,Repeat,2016-11-16 20:54:00+00:00,Human,0.4,10000.0,Type 4 Incident,2016/12/06 12:30:00+00,Talladega,US-AL,Federal,WF,,2016,11,2016-11-16ALTALLADEGA,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2017-OKECU-170051,WAGON WHEEL,2017-02-04 22:09:59+00:00,Human,486.0,3000.0,Type 4 Incident,2017/02/05 07:30:00+00,Pittsburg,US-OK,,WF,,2017,2,2017-02-04OKPITTSBURG,,,,,,,
2015-MSPRI-000520,Webster,2015-09-24 19:27:00+00:00,Human,1.0,400.0,Type 4 Incident,2015/09/24 19:27:00+00,Attala,US-MS,,WF,,2015,9,2015-09-24MSATTALA,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2014-NCNCS-1478037,White Oak Fire,2014-11-15 21:59:59+00:00,Human,220.0,3000.0,,,Robeson,US-NC,,WF,,2014,11,2014-11-15NCROBESON,0.0,0.0,0.0,0.0,0.0,0.0,207.0
2014-CAMDF-000347,Dalton,2014-07-02 18:43:59+00:00,Natural,641.0,2000000.0,,,Modoc,US-CA,Federal,WF,,2014,7,2014-07-02CAMODOC,,,,,,,
2015-AKGAD-000495,Yukon,2015-06-22 00:57:09+00:00,Natural,360.0,0.0,,,Yukon-Koyukuk,US-AK,Other,WF,,2015,6,2015-06-22AKYUKON-KOYUKUK,,,,,,,
2018-WANES-001801,ANGEL SPRINGS,2018-08-02 21:48:00+00:00,Human,5046.0,5220000.0,Type 4 Incident,2018/08/14 12:59:59+00,Lincoln,US-WA,,WF,,2018,8,2018-08-02WALINCOLN,,,,,,,
2016-AKGAD-000385,Mauneluk River,2016-07-02 02:40:53+00:00,Natural,4478.5,0.0,Type 5 Incident,2016/07/22 03:00:00+00,Northwest Arctic,US-AK,Other,WF,,2016,7,2016-07-02AKNORTHWEST ARCTIC,,,,,,,
2018-ORRFPN-001039,JENNIES PEAK 1039 RN,2018-08-17 23:45:59+00:00,Natural,45537.0,1400000.0,Type 5 Incident,2018/09/07 23:00:00+00,Wheeler,US-OR,,WF,,2018,8,2018-08-17ORWHEELER,2.0,0.0,1.0,0.0,0.0,0.0,46176.1
2020-AZSCA-002036,Blue River 2,2020-07-13 16:33:00+00:00,Natural,28051.0,4000000.0,Type 4 Incident,2020/07/28 00:59:59+00,Gila,US-AZ,Federal,WF,Grass-Shrub,2020,7,2020-07-13AZGILA,,,,,,,
2018-COBAX-000574,Badger Hole,2018-04-18 02:48:59+00:00,Human,50671.0,106036.0,Type 3 Incident,2018/04/18 03:00:00+00,Baca,US-CO,,WF,,2018,4,2018-04-18COBACA,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2017-AKGAD-000180,Gorton Creek 2,2017-06-07 00:47:58+00:00,Natural,3.0,0.0,,,Yukon-Koyukuk,US-AK,Federal,WF,,2017,6,2017-06-07AKYUKON-KOYUKUK,,,,,,,
2020-AZSCA-002640,Juniper,2020-08-28 01:04:00+00:00,Natural,2867.0,200000.0,Type 4 Incident,2020/09/01 00:59:59+00,Graham,US-AZ,Federal,WF,Grass-Shrub,2020,8,2020-08-28AZGRAHAM,,,,,,,
2015-WVWVS-F201550016,Left Fork Joe's Creek,2015-11-05 19:44:59+00:00,Human,289.0,1791.0,Type 5 Incident,2015/11/05 19:44:59+00,Boone,US-WV,,WF,,2015,11,2015-11-05WVBOONE,0.0,0.0,0.0,0.0,0.0,0.0,291.0
2020-IDTFD-000235,Lake Walcott,2020-08-08 20:18:00+00:00,Human,1390.7,150000.0,Type 4 Incident,2020/08/09 00:59:59+00,Cassia,US-ID,Federal,WF,Grass,2020,8,2020-08-08IDCASSIA,,,,,,,
2017-ORVAD-000152,Oxbow,2017-07-29 01:34:59+00:00,Natural,1321.5,500000.0,Type 3 Incident,2017/08/01 12:00:00+00,Malheur,US-OR,Federal,WF,,2017,7,2017-07-29ORMALHEUR,,,,,,,
2015-AKSWS-504630,Iditarod River #2,2015-06-25 18:45:33+00:00,Natural,6110.0,1975.0,Type 4 Incident,2015/07/24 21:59:59+00,Bethel,US-AK,Federal,WF,,2015,6,2015-06-25AKBETHEL,,,,,,,
2015-WAGPF-000355,Seven Lakes,2015-07-09 23:55:05+00:00,Natural,0.1,13000.0,,,Skamania,US-WA,Federal,WF,,2015,7,2015-07-09WASKAMANIA,,,,,,,
2018-OKCOA-000771,COLONY,2018-04-03 20:36:59+00:00,Human,575.0,150000.0,Type 3 Incident,2018/05/03 15:00:00+00,Washita,US-OK,Federal,WF,,2018,4,2018-04-03OKWASHITA,,,,,,,
2016-IDSCF-016112,Golden Trout,2016-07-02 01:09:00+00:00,Natural,27.0,303669.0,Type 4 Incident,2016/07/08 23:00:00+00,Lemhi,US-ID,Federal,WF,,2016,7,2016-07-02IDLEMHI,,,,,,,
2016-TXTXS-001501,High Line,2016-01-30 18:30:59+00:00,Human,642.0,0.0,Type 3 Incident,2016/01/31 14:00:00+00,Callahan,US-TX,Private,WF,,2016,1,2016-01-30TXCALLAHAN,44.0,7.0,0.0,0.0,0.0,0.0,642.0
2016-AKUYD-000350,Cathedral Creek,2016-06-27 01:25:02+00:00,Natural,159.3,0.0,,,Southeast Fairbanks,US-AK,Private,WF,,2016,6,2016-06-27AKSOUTHEAST FAIRBANKS,,,,,,,
2016-FLFLS-120248,H Pole,2016-05-14 21:30:00+00:00,Human,30.0,0.0,Type 5 Incident,2016/05/15 23:00:00+00,Osceola,US-FL,,WF,,2016,5,2016-05-14FLOSCEOLA,2.0,1.0,0.0,0.0,0.0,0.0,30.0
2016-FLFLS-050099,Christmas Tree Lane FIre,2016-05-13 21:00:00+00:00,Human,1.0,0.0,Type 5 Incident,2016/05/15 12:00:00+00,Madison,US-FL,,WF,,2016,5,2016-05-13FLMADISON,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015-OKOSA-015015,DOG CATCHER,2015-01-26 21:59:59+00:00,Undetermined,1.0,500.0,,,Osage,US-OK,,WF,,2015,1,2015-01-26OKOSAGE,,,,,,,
2018-AKGAD-000290,Shinilikrok Creek,2018-06-27 22:05:45+00:00,Natural,65.2,2998.0,,,Northwest Arctic,US-AK,Federal,WF,,2018,6,2018-06-27AKNORTHWEST ARCTIC,,,,,,,
2016-OKOSA-016128,HICKEY,2016-12-30 20:29:00+00:00,Human,701.0,10000.0,Type 4 Incident,2016/12/31 20:00:00+00,Osage,US-OK,Federal,WF,,2016,12,2016-12-30OKOSAGE,,,,,,,
2015-IDIPF-000940,My Ruby,2015-08-17 20:46:06+00:00,Natural,2.0,4000.0,,,Shoshone,US-ID,Federal,WF,,2015,8,2015-08-17IDSHOSHONE,,,,,,,
2016-AKKKS-603506,Lakeside,2016-07-15 21:00:12+00:00,Human,0.1,1326.0,Type 5 Incident,,Kenai Peninsula,US-AK,Private,WF,,2016,7,2016-07-15AKKENAI PENINSULA,,,,,,,
2014-UTNWS-000468,Stockton,2014-07-16 20:16:00+00:00,Human,179.0,120000.0,,,Tooele,US-UT,,WF,,2014,7,2014-07-16UTTOOELE,0.0,0.0,20.0,1.0,0.0,0.0,179.0
2016-AKMSS-601375,Twin Island Lake,2016-06-29 03:51:20+00:00,Human,3.2,60890.0,Type 4 Incident,,Matanuska-Susitna,US-AK,Other,WF,,2016,6,2016-06-29AKMATANUSKA-SUSITNA,,,,,,,
2016-COFCQ-000047,Impact area,2016-01-28 19:26:04+00:00,Human,9636.0,0.0,Type 3 Incident,2016/01/31 15:00:00+00,El Paso,US-CO,,WF,,2016,1,2016-01-28COEL PASO,0.0,0.0,0.0,0.0,0.0,0.0,1.02
2020-IDBOD-000454,ANTELOPE,2020-07-22 12:27:00+00:00,Natural,1890.0,900000.0,Type 3 Incident,2020/07/23 18:00:00+00,Owyhee,US-ID,Federal,WF,Grass-Shrub,2020,7,2020-07-22IDOWYHEE,,,,,,,
2017-MOMTF-000126,Banker's Ridge,2017-02-17 22:44:59+00:00,Human,123.42,9500.0,Type 4 Incident,2017/02/19 21:30:00+00,Wayne,US-MO,Federal,WF,,2017,2,2017-02-17MOWAYNE,,,,,,,
2015-ORVAD-000062,Leslie Gulch,2015-06-29 02:50:00+00:00,Natural,8687.9,850000.0,Type 3 Incident,2015/07/03 03:59:59+00,Malheur,US-OR,Federal,WF,,2015,6,2015-06-29ORMALHEUR,,,,,,,
2017-CARRU-100198,MIAS,2017-08-14 22:44:59+00:00,,545.0,3800000.0,Type 3 Incident,2017/08/18 12:59:59+00,Riverside,US-CA,,WF,,2017,8,2017-08-14CARIVERSIDE,0.0,0.0,0.0,0.0,0.0,0.0,600.1
2019-ALPRI-20190402-1,426B,2019-04-03 02:18:00+00:00,Natural,404.0,620.86,Type 4 Incident,2019/04/03 02:18:00+00,Chilton,US-AL,Federal,WF,,2019,4,2019-04-03ALCHILTON,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2018-ORVAD-000136,Rail Canyon,2018-07-25 00:24:59+00:00,Natural,362.8,50000.0,Type 4 Incident,2018/07/25 02:00:00+00,Malheur,US-OR,Federal,WF,,2018,7,2018-07-25ORMALHEUR,,,,,,,
2019-PAPAS-08192003,Stoughton Road,2019-11-04 20:29:59+00:00,Human,0.3,0.0,Type 4 Incident,2019/11/04 20:29:59+00,Lawrence,US-PA,,WF,,2019,11,2019-11-04PALAWRENCE,0.0,0.0,1.0,1.0,0.0,0.0,0.8
2020-ORVAD-000156,WILDCAT,2020-08-17 22:47:00+00:00,Natural,3456.0,200000.0,Type 4 Incident,2020/08/27 00:59:59+00,Malheur,US-OR,Federal,WF,Grass-Shrub,2020,8,2020-08-17ORMALHEUR,,,,,,,
2014-OKOSA-014143,BARB,2014-11-21 09:56:00+00:00,Human,42.0,5000.0,,,Osage,US-OK,Federal,WF,,2014,11,2014-11-21OKOSAGE,,,,,,,
2019-MTLG03-190460,Mountain View,2019-08-28 18:01:00+00:00,Unknown,2775.0,1000020.0,Type 3 Incident,2019/09/03 18:59:59+00,Yellowstone,US-MT,,WF,,2019,8,2019-08-28MTYELLOWSTONE,0.0,0.0,0.0,0.0,0.0,0.0,2775.0
2017-OKNEU-170201,Candle,2017-03-20 18:59:59+00:00,Human,400.0,2500.0,Type 4 Incident,2017/03/22 22:15:00+00,Cherokee,US-OK,,WF,,2017,3,2017-03-20OKCHEROKEE,,,,,,,
2020-ALALF-000110,SC Bobo,2020-05-13 20:55:59+00:00,Human,0.75,8000.0,Type 4 Incident,2020/05/14 15:00:00+00,Cleburne,US-AL,Federal,WF,Timber,2020,5,2020-05-13ALCLEBURNE,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2015-CASHF-002040,HIDDEN,2015-07-31 00:49:22+00:00,Natural,11.0,9206.0,,,Trinity,US-CA,Federal,WF,,2015,7,2015-07-31CATRINITY,,,,,,,
2014-COUPD-000053,DRY CREEK,2014-06-11 14:06:00+00:00,Natural,22.0,15000.0,,,Montrose,US-CO,Federal,WF,,2014,6,2014-06-11COMONTROSE,,,,,,,
2015-CAANF-003570,SHINN,2015-08-12 03:03:00+00:00,Undetermined,11.0,100000.0,Type 4 Incident,2015/08/20 12:59:59+00,San Bernardino,US-CA,Federal,WF,,2015,8,2015-08-12CASAN BERNARDINO,,,,,,,
2015-FLFLS-2015120364,Birdtower,2015-06-28 18:30:00+00:00,Undetermined,350.0,0.0,Type 5 Incident,2015/07/04 15:00:00+00,Brevard,US-FL,,WF,,2015,6,2015-06-28FLBREVARD,0.0,0.0,0.0,0.0,0.0,0.0,365.0
2020-COARF-000425,Wildhorse Fire,2020-07-13 21:35:00+00:00,Natural,428.0,10000.0,Type 4 Incident,2020/07/13 21:45:00+00,Weld,US-CO,Federal,WF,Grass,2020,7,2020-07-13COWELD,1.0,0.0,0.0,0.0,0.0,0.0,11.1
2016-VAPRI-16050014,Webb Mountain,2016-03-23 20:00:00+00:00,Human,150.0,15000.0,Type 4 Incident,2016/03/27 03:59:59+00,Franklin,US-VA,,WF,,2016,3,2016-03-23VAFRANKLIN,4.0,0.0,4.0,1.0,0.0,0.0,166.0
2015-MTFNF-000534,Trail Creek,2015-08-12 17:42:00+00:00,Natural,21482.0,520000.0,Type 4 Incident,2015/10/16 00:59:59+00,Flathead,US-MT,Federal,WF,,2015,8,2015-08-12MTFLATHEAD,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2014-NJJBQ-1401418,Delbarto Road,2014-07-25 16:30:00+00:00,Human,273.0,2000.0,,,Ocean,US-NJ,,WF,,2014,7,2014-07-25NJOCEAN,0.0,0.0,0.0,0.0,0.0,0.0,0.75
2017-FLFLS-160503,Viking,2017-05-27 21:45:00+00:00,,185.0,13000.0,Type 4 Incident,2017/05/31 23:00:00+00,Okeechobee,US-FL,,WF,,2017,5,2017-05-27FLOKEECHOBEE,50.0,1.0,30.0,1.0,0.0,0.0,185.0
2014-IDNCF-000488,Bill,2014-08-09 22:26:20+00:00,Natural,39.0,8500.0,,,Idaho,US-ID,Federal,WF,,2014,8,2014-08-09IDIDAHO,,,,,,,
2018-COFCQ-000174,Apache Complex,2018-02-24 21:51:00+00:00,Undetermined,2885.0,0.0,Type 4 Incident,2018/03/06 14:00:00+00,Pueblo,US-CO,,CX,,2018,2,2018-02-24COPUEBLO,0.0,0.0,0.0,0.0,0.0,0.0,0.002
2016-AKGAD-000496,Bonanza Creek,2016-07-15 06:47:58+00:00,Natural,442.8,0.0,,,Yukon-Koyukuk,US-AK,Federal,WF,,2016,7,2016-07-15AKYUKON-KOYUKUK,,,,,,,
2015-AKTAD-000709,Little Mud,2015-07-06 18:45:38+00:00,Natural,509.0,3000.0,Type 5 Incident,2015/08/03 03:59:59+00,Yukon-Koyukuk,US-AK,Federal,WF,,2015,7,2015-07-06AKYUKON-KOYUKUK,,,,,,,
